The atomic number is   1.0000000000;

Radial grid: R(I) = RNT*(exp((I-1)*H)-1), I = 1, ..., N;

 RNT  =  2.000000000000D-06 Bohr radii;
 H    =  5.000000000000D-02 Bohr radii;
 N    =  590;
 R(1) =  0.000000000000D+00 Bohr radii;
 R(2) =  1.025421927520D-07 Bohr radii;
 R(N) =  1.233111896689D+07 Bohr radii.

Shell      e           p0        gamma         R           P           Q       MTP  SRC

  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.1517D-04  0.3035D-04 -0.1107D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.1605D-04  0.3211D-04 -0.1172D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.1698D-04  0.3396D-04 -0.1239D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.1795D-04  0.3591D-04 -0.1310D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.1897D-04  0.3795D-04 -0.1385D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.2005D-04  0.4010D-04 -0.1463D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.2118D-04  0.4236D-04 -0.1546D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.2236D-04  0.4474D-04 -0.1633D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.2361D-04  0.4724D-04 -0.1724D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.2493D-04  0.4987D-04 -0.1820D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.2631D-04  0.5263D-04 -0.1920D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.2776D-04  0.5553D-04 -0.2026D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.2929D-04  0.5859D-04 -0.2138D-06  327  Hyd
  1s   0.5000D+00  0.2000D+01  0.1000D+01  0.3089D-04  0.6179D-04 -0.2255D-06  327  Hyd
