OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.3430D+00    0.1391D+01   -0.2031D-01   400
  0.3477D+00    0.1384D+01   -0.2021D-01   400
  0.3524D+00    0.1377D+01   -0.2010D-01   400
  0.3571D+00    0.1369D+01   -0.1999D-01   400
  0.3618D+00    0.1361D+01   -0.1987D-01   400
  0.3666D+00    0.1353D+01   -0.1976D-01   400
  0.3714D+00    0.1345D+01   -0.1963D-01   400
  0.3763D+00    0.1336D+01   -0.1951D-01   400
  0.3811D+00    0.1327D+01   -0.1938D-01   400
  0.3861D+00    0.1318D+01   -0.1924D-01   400
  0.3910D+00    0.1309D+01   -0.1911D-01   400
  0.3961D+00    0.1299D+01   -0.1897D-01   400
  0.4011D+00    0.1290D+01   -0.1883D-01   400
  0.4062D+00    0.1280D+01   -0.1868D-01   400
  0.4113D+00    0.1270D+01   -0.1853D-01   400
  0.4165D+00    0.1259D+01   -0.1838D-01   400
  0.4217D+00    0.1249D+01   -0.1823D-01   400
  0.4269D+00    0.1238D+01   -0.1807D-01   400
  0.4322D+00    0.1227D+01   -0.1791D-01   400
  0.4376D+00    0.1216D+01   -0.1775D-01   400
  0.4429D+00    0.1205D+01   -0.1759D-01   400
  0.4483D+00    0.1193D+01   -0.1742D-01   400
  0.4538D+00    0.1182D+01   -0.1725D-01   400
  0.4593D+00    0.1170D+01   -0.1708D-01   400
  0.4648D+00    0.1158D+01   -0.1691D-01   400
  0.4704D+00    0.1146D+01   -0.1673D-01   400
  0.4760D+00    0.1134D+01   -0.1656D-01   400
  0.4817D+00    0.1122D+01   -0.1638D-01   400
  0.4874D+00    0.1110D+01   -0.1620D-01   400
  0.4932D+00    0.1097D+01   -0.1602D-01   400
  0.4990D+00    0.1085D+01   -0.1583D-01   400
  0.5049D+00    0.1072D+01   -0.1565D-01   400
  0.5108D+00    0.1059D+01   -0.1546D-01   400
  0.5167D+00    0.1046D+01   -0.1527D-01   400
  0.5227D+00    0.1033D+01   -0.1508D-01   400
  0.5287D+00    0.1020D+01   -0.1489D-01   400
  0.5348D+00    0.1007D+01   -0.1470D-01   400
  0.5409D+00    0.9941D+00   -0.1451D-01   400
  0.5471D+00    0.9809D+00   -0.1432D-01   400
  0.5533D+00    0.9676D+00   -0.1413D-01   400
  0.5596D+00    0.9543D+00   -0.1393D-01   400
  0.5659D+00    0.9410D+00   -0.1374D-01   400
  0.5723D+00    0.9276D+00   -0.1354D-01   400
  0.5787D+00    0.9143D+00   -0.1335D-01   400
  0.5852D+00    0.9008D+00   -0.1315D-01   400
  0.5917D+00    0.8874D+00   -0.1295D-01   400
  0.5983D+00    0.8740D+00   -0.1276D-01   400
  0.6049D+00    0.8605D+00   -0.1256D-01   400
  0.6116D+00    0.8471D+00   -0.1237D-01   400
  0.6184D+00    0.8337D+00   -0.1217D-01   400
  0.6251D+00    0.8202D+00   -0.1197D-01   400
  0.6320D+00    0.8068D+00   -0.1178D-01   400
  0.6389D+00    0.7935D+00   -0.1158D-01   400
  0.6458D+00    0.7801D+00   -0.1139D-01   400
  0.6528D+00    0.7668D+00   -0.1119D-01   400
  0.6599D+00    0.7535D+00   -0.1100D-01   400
  0.6670D+00    0.7403D+00   -0.1081D-01   400
  0.6741D+00    0.7271D+00   -0.1061D-01   400
  0.6814D+00    0.7139D+00   -0.1042D-01   400
  0.6886D+00    0.7009D+00   -0.1023D-01   400
  0.6960D+00    0.6879D+00   -0.1004D-01   400
  0.7034D+00    0.6749D+00   -0.9852D-02   400
  0.7108D+00    0.6620D+00   -0.9664D-02   400
  0.7183D+00    0.6492D+00   -0.9477D-02   400
  0.7259D+00    0.6365D+00   -0.9292D-02   400
  0.7335D+00    0.6239D+00   -0.9107D-02   400
  0.7412D+00    0.6113D+00   -0.8924D-02   400
  0.7489D+00    0.5989D+00   -0.8742D-02   400
  0.7567D+00    0.5865D+00   -0.8562D-02   400
  0.7646D+00    0.5743D+00   -0.8383D-02   400
  0.7725D+00    0.5621D+00   -0.8205D-02   400
  0.7805D+00    0.5500D+00   -0.8029D-02   400
  0.7886D+00    0.5381D+00   -0.7855D-02   400
  0.7967D+00    0.5263D+00   -0.7683D-02   400
  0.8049D+00    0.5146D+00   -0.7512D-02   400
  0.8131D+00    0.5030D+00   -0.7342D-02   400
  0.8214D+00    0.4915D+00   -0.7175D-02   400
  0.8298D+00    0.4802D+00   -0.7009D-02   400
  0.8382D+00    0.4690D+00   -0.6846D-02   400
  0.8467D+00    0.4579D+00   -0.6684D-02   400
  0.8553D+00    0.4469D+00   -0.6524D-02   400
  0.8639D+00    0.4361D+00   -0.6366D-02   400
  0.8726D+00    0.4254D+00   -0.6210D-02   400
  0.8814D+00    0.4149D+00   -0.6056D-02   400
  0.8902D+00    0.4045D+00   -0.5905D-02   400
  0.8991D+00    0.3942D+00   -0.5755D-02   400
  0.9081D+00    0.3841D+00   -0.5607D-02   400
  0.9172D+00    0.3742D+00   -0.5462D-02   400
  0.9263D+00    0.3643D+00   -0.5319D-02   400
  0.9355D+00    0.3547D+00   -0.5178D-02   400
  0.9447D+00    0.3452D+00   -0.5039D-02   400
  0.9541D+00    0.3358D+00   -0.4902D-02   400
  0.9635D+00    0.3266D+00   -0.4767D-02   400
  0.9729D+00    0.3175D+00   -0.4635D-02   400
  0.9825D+00    0.3086D+00   -0.4505D-02   400
  0.9921D+00    0.2999D+00   -0.4377D-02   400
  0.1002D+01    0.2913D+00   -0.4252D-02   400
  0.1012D+01    0.2828D+00   -0.4129D-02   400
  0.1021D+01    0.2745D+00   -0.4008D-02   400
  0.1031D+01    0.2664D+00   -0.3889D-02   400
  0.1041D+01    0.2584D+00   -0.3773D-02   400
  0.1052D+01    0.2506D+00   -0.3658D-02   400
  0.1062D+01    0.2430D+00   -0.3547D-02   400
  0.1072D+01    0.2354D+00   -0.3437D-02   400
  0.1082D+01    0.2281D+00   -0.3330D-02   400
  0.1093D+01    0.2209D+00   -0.3225D-02   400
  0.1103D+01    0.2139D+00   -0.3122D-02   400
  0.1114D+01    0.2070D+00   -0.3021D-02   400
  0.1124D+01    0.2002D+00   -0.2923D-02   400
  0.1135D+01    0.1936D+00   -0.2827D-02   400
  0.1146D+01    0.1872D+00   -0.2733D-02   400
  0.1157D+01    0.1809D+00   -0.2641D-02   400
  0.1168D+01    0.1748D+00   -0.2551D-02   400
  0.1179D+01    0.1688D+00   -0.2464D-02   400
  0.1190D+01    0.1629D+00   -0.2379D-02   400
  0.1201D+01    0.1572D+00   -0.2295D-02   400
  0.1213D+01    0.1517D+00   -0.2214D-02   400
  0.1224D+01    0.1463D+00   -0.2135D-02   400
  0.1236D+01    0.1410D+00   -0.2058D-02   400
  0.1247D+01    0.1359D+00   -0.1983D-02   400
  0.1259D+01    0.1309D+00   -0.1911D-02   400
  0.1271D+01    0.1260D+00   -0.1840D-02   400
  0.1283D+01    0.1213D+00   -0.1771D-02   400
  0.1295D+01    0.1167D+00   -0.1704D-02   400
  0.1307D+01    0.1122D+00   -0.1638D-02   400
  0.1319D+01    0.1079D+00   -0.1575D-02   400
  0.1331D+01    0.1037D+00   -0.1514D-02   400
