OOGRWF


  z:      0.400D+01
  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.8002D+01


      r          p( 1s )       q( 1s )     npt
  0.2196D+00    0.4491D+00   -0.9124D-02   400
  0.2232D+00    0.4473D+00   -0.9165D-02   400
  0.2269D+00    0.4453D+00   -0.9204D-02   400
  0.2307D+00    0.4431D+00   -0.9241D-02   400
  0.2344D+00    0.4407D+00   -0.9275D-02   400
  0.2382D+00    0.4381D+00   -0.9308D-02   400
  0.2420D+00    0.4353D+00   -0.9338D-02   400
  0.2459D+00    0.4323D+00   -0.9366D-02   400
  0.2497D+00    0.4291D+00   -0.9391D-02   400
  0.2536D+00    0.4256D+00   -0.9414D-02   400
  0.2576D+00    0.4220D+00   -0.9435D-02   400
  0.2615D+00    0.4181D+00   -0.9454D-02   400
  0.2655D+00    0.4141D+00   -0.9471D-02   400
  0.2696D+00    0.4098D+00   -0.9485D-02   400
  0.2736D+00    0.4053D+00   -0.9497D-02   400
  0.2777D+00    0.4007D+00   -0.9506D-02   400
  0.2818D+00    0.3958D+00   -0.9513D-02   400
  0.2860D+00    0.3907D+00   -0.9518D-02   400
  0.2902D+00    0.3854D+00   -0.9521D-02   400
  0.2944D+00    0.3799D+00   -0.9521D-02   400
  0.2986D+00    0.3742D+00   -0.9519D-02   400
  0.3029D+00    0.3683D+00   -0.9514D-02   400
  0.3073D+00    0.3622D+00   -0.9508D-02   400
  0.3116D+00    0.3560D+00   -0.9499D-02   400
  0.3160D+00    0.3495D+00   -0.9487D-02   400
  0.3204D+00    0.3428D+00   -0.9474D-02   400
  0.3249D+00    0.3359D+00   -0.9458D-02   400
  0.3294D+00    0.3288D+00   -0.9439D-02   400
  0.3339D+00    0.3216D+00   -0.9419D-02   400
  0.3385D+00    0.3141D+00   -0.9396D-02   400
  0.3430D+00    0.3065D+00   -0.9371D-02   400
  0.3477D+00    0.2987D+00   -0.9343D-02   400
  0.3524D+00    0.2907D+00   -0.9313D-02   400
  0.3571D+00    0.2825D+00   -0.9281D-02   400
  0.3618D+00    0.2741D+00   -0.9247D-02   400
  0.3666D+00    0.2655D+00   -0.9210D-02   400
  0.3714D+00    0.2568D+00   -0.9172D-02   400
  0.3763D+00    0.2479D+00   -0.9130D-02   400
  0.3811D+00    0.2388D+00   -0.9087D-02   400
  0.3861D+00    0.2296D+00   -0.9042D-02   400
  0.3910D+00    0.2202D+00   -0.8994D-02   400
  0.3961D+00    0.2106D+00   -0.8944D-02   400
  0.4011D+00    0.2009D+00   -0.8892D-02   400
  0.4062D+00    0.1910D+00   -0.8838D-02   400
  0.4113D+00    0.1809D+00   -0.8782D-02   400
  0.4165D+00    0.1707D+00   -0.8723D-02   400
  0.4217D+00    0.1604D+00   -0.8663D-02   400
  0.4269D+00    0.1499D+00   -0.8600D-02   400
  0.4322D+00    0.1393D+00   -0.8535D-02   400
  0.4376D+00    0.1285D+00   -0.8469D-02   400
  0.4429D+00    0.1176D+00   -0.8400D-02   400
  0.4483D+00    0.1065D+00   -0.8329D-02   400
  0.4538D+00    0.9532D-01   -0.8256D-02   400
  0.4593D+00    0.8401D-01   -0.8182D-02   400
  0.4648D+00    0.7258D-01   -0.8105D-02   400
  0.4704D+00    0.6103D-01   -0.8027D-02   400
  0.4760D+00    0.4937D-01   -0.7946D-02   400
  0.4817D+00    0.3759D-01   -0.7864D-02   400
  0.4874D+00    0.2571D-01   -0.7780D-02   400
  0.4932D+00    0.1372D-01   -0.7694D-02   400
  0.4990D+00    0.1633D-02   -0.7607D-02   400
  0.5049D+00   -0.1055D-01   -0.7517D-02   400
  0.5108D+00   -0.2282D-01   -0.7426D-02   400
  0.5167D+00   -0.3518D-01   -0.7334D-02   400
  0.5227D+00   -0.4762D-01   -0.7239D-02   400
  0.5287D+00   -0.6014D-01   -0.7144D-02   400
  0.5348D+00   -0.7273D-01   -0.7046D-02   400
  0.5409D+00   -0.8539D-01   -0.6947D-02   400
  0.5471D+00   -0.9812D-01   -0.6847D-02   400
  0.5533D+00   -0.1109D+00   -0.6745D-02   400
  0.5596D+00   -0.1237D+00   -0.6641D-02   400
  0.5659D+00   -0.1366D+00   -0.6537D-02   400
  0.5723D+00   -0.1496D+00   -0.6431D-02   400
  0.5787D+00   -0.1625D+00   -0.6323D-02   400
  0.5852D+00   -0.1755D+00   -0.6214D-02   400
  0.5917D+00   -0.1886D+00   -0.6105D-02   400
  0.5983D+00   -0.2016D+00   -0.5994D-02   400
  0.6049D+00   -0.2147D+00   -0.5881D-02   400
  0.6116D+00   -0.2278D+00   -0.5768D-02   400
  0.6184D+00   -0.2409D+00   -0.5654D-02   400
  0.6251D+00   -0.2540D+00   -0.5538D-02   400
  0.6320D+00   -0.2671D+00   -0.5422D-02   400
  0.6389D+00   -0.2802D+00   -0.5305D-02   400
  0.6458D+00   -0.2933D+00   -0.5187D-02   400
  0.6528D+00   -0.3064D+00   -0.5068D-02   400
  0.6599D+00   -0.3194D+00   -0.4948D-02   400
  0.6670D+00   -0.3324D+00   -0.4827D-02   400
  0.6741D+00   -0.3454D+00   -0.4706D-02   400
  0.6814D+00   -0.3583D+00   -0.4584D-02   400
  0.6886D+00   -0.3712D+00   -0.4462D-02   400
  0.6960D+00   -0.3841D+00   -0.4339D-02   400
  0.7034D+00   -0.3969D+00   -0.4216D-02   400
  0.7108D+00   -0.4096D+00   -0.4092D-02   400
  0.7183D+00   -0.4223D+00   -0.3967D-02   400
  0.7259D+00   -0.4348D+00   -0.3843D-02   400
  0.7335D+00   -0.4474D+00   -0.3718D-02   400
  0.7412D+00   -0.4598D+00   -0.3593D-02   400
  0.7489D+00   -0.4721D+00   -0.3467D-02   400
  0.7567D+00   -0.4844D+00   -0.3342D-02   400
  0.7646D+00   -0.4965D+00   -0.3216D-02   400
  0.7725D+00   -0.5085D+00   -0.3091D-02   400
  0.7805D+00   -0.5205D+00   -0.2965D-02   400
  0.7886D+00   -0.5323D+00   -0.2839D-02   400
  0.7967D+00   -0.5439D+00   -0.2714D-02   400
  0.8049D+00   -0.5555D+00   -0.2589D-02   400
  0.8131D+00   -0.5669D+00   -0.2463D-02   400
  0.8214D+00   -0.5782D+00   -0.2339D-02   400
  0.8298D+00   -0.5893D+00   -0.2214D-02   400
  0.8382D+00   -0.6003D+00   -0.2090D-02   400
  0.8467D+00   -0.6112D+00   -0.1966D-02   400
  0.8553D+00   -0.6219D+00   -0.1843D-02   400
  0.8639D+00   -0.6324D+00   -0.1720D-02   400
  0.8726D+00   -0.6427D+00   -0.1598D-02   400
  0.8814D+00   -0.6529D+00   -0.1477D-02   400
  0.8902D+00   -0.6629D+00   -0.1356D-02   400
  0.8991D+00   -0.6727D+00   -0.1236D-02   400
  0.9081D+00   -0.6823D+00   -0.1116D-02   400
  0.9172D+00   -0.6918D+00   -0.9976D-03   400
  0.9263D+00   -0.7010D+00   -0.8800D-03   400
  0.9355D+00   -0.7100D+00   -0.7632D-03   400
  0.9447D+00   -0.7189D+00   -0.6474D-03   400
  0.9541D+00   -0.7275D+00   -0.5326D-03   400
  0.9635D+00   -0.7359D+00   -0.4189D-03   400
  0.9729D+00   -0.7441D+00   -0.3062D-03   400
  0.9825D+00   -0.7520D+00   -0.1947D-03   400
  0.9921D+00   -0.7598D+00   -0.8446D-04   400
  0.1002D+01   -0.7673D+00    0.2460D-04   400
  0.1012D+01   -0.7746D+00    0.1324D-03   400
  0.1021D+01   -0.7816D+00    0.2388D-03   400
  0.1031D+01   -0.7884D+00    0.3439D-03   400
  0.1041D+01   -0.7950D+00    0.4476D-03   400
  0.1052D+01   -0.8013D+00    0.5499D-03   400
  0.1062D+01   -0.8074D+00    0.6507D-03   400
  0.1072D+01   -0.8132D+00    0.7499D-03   400
  0.1082D+01   -0.8187D+00    0.8476D-03   400
  0.1093D+01   -0.8240D+00    0.9437D-03   400
  0.1103D+01   -0.8291D+00    0.1038D-02   400
  0.1114D+01   -0.8339D+00    0.1131D-02   400
  0.1124D+01   -0.8384D+00    0.1222D-02   400
  0.1135D+01   -0.8427D+00    0.1311D-02   400
  0.1146D+01   -0.8467D+00    0.1399D-02   400
  0.1157D+01   -0.8504D+00    0.1485D-02   400
  0.1168D+01   -0.8538D+00    0.1569D-02   400
  0.1179D+01   -0.8570D+00    0.1651D-02   400
  0.1190D+01   -0.8599D+00    0.1732D-02   400
  0.1201D+01   -0.8626D+00    0.1810D-02   400
  0.1213D+01   -0.8650D+00    0.1886D-02   400
  0.1224D+01   -0.8670D+00    0.1961D-02   400
  0.1236D+01   -0.8689D+00    0.2034D-02   400
  0.1247D+01   -0.8704D+00    0.2104D-02   400
  0.1259D+01   -0.8717D+00    0.2173D-02   400
  0.1271D+01   -0.8727D+00    0.2240D-02   400
  0.1283D+01   -0.8734D+00    0.2304D-02   400
  0.1295D+01   -0.8739D+00    0.2367D-02   400
  0.1307D+01   -0.8741D+00    0.2427D-02   400
  0.1319D+01   -0.8740D+00    0.2486D-02   400
  0.1331D+01   -0.8736D+00    0.2542D-02   400
  0.1343D+01   -0.8730D+00    0.2596D-02   400
  0.1356D+01   -0.8721D+00    0.2648D-02   400
  0.1368D+01   -0.8709D+00    0.2698D-02   400
  0.1381D+01   -0.8695D+00    0.2746D-02   400
  0.1394D+01   -0.8678D+00    0.2792D-02   400
  0.1407D+01   -0.8658D+00    0.2836D-02   400
  0.1420D+01   -0.8636D+00    0.2878D-02   400
  0.1433D+01   -0.8611D+00    0.2917D-02   400
  0.1446D+01   -0.8584D+00    0.2955D-02   400
  0.1459D+01   -0.8554D+00    0.2990D-02   400
  0.1472D+01   -0.8522D+00    0.3023D-02   400
  0.1486D+01   -0.8487D+00    0.3054D-02   400
  0.1499D+01   -0.8450D+00    0.3083D-02   400
  0.1513D+01   -0.8411D+00    0.3110D-02   400
  0.1527D+01   -0.8369D+00    0.3135D-02   400
  0.1541D+01   -0.8325D+00    0.3158D-02   400
  0.1555D+01   -0.8278D+00    0.3179D-02   400
  0.1569D+01   -0.8230D+00    0.3198D-02   400
  0.1583D+01   -0.8179D+00    0.3215D-02   400
  0.1597D+01   -0.8126D+00    0.3230D-02   400
  0.1612D+01   -0.8071D+00    0.3242D-02   400
  0.1626D+01   -0.8013D+00    0.3253D-02   400
  0.1641D+01   -0.7954D+00    0.3262D-02   400
  0.1656D+01   -0.7893D+00    0.3270D-02   400
  0.1671D+01   -0.7830D+00    0.3275D-02   400
  0.1686D+01   -0.7765D+00    0.3278D-02   400
  0.1701D+01   -0.7698D+00    0.3280D-02   400
  0.1716D+01   -0.7629D+00    0.3280D-02   400
  0.1731D+01   -0.7559D+00    0.3278D-02   400
  0.1747D+01   -0.7487D+00    0.3274D-02   400
  0.1762D+01   -0.7413D+00    0.3269D-02   400
  0.1778D+01   -0.7338D+00    0.3262D-02   400
  0.1794D+01   -0.7261D+00    0.3253D-02   400
  0.1810D+01   -0.7183D+00    0.3242D-02   400
  0.1826D+01   -0.7104D+00    0.3231D-02   400
  0.1842D+01   -0.7023D+00    0.3217D-02   400
  0.1859D+01   -0.6941D+00    0.3202D-02   400
  0.1875D+01   -0.6857D+00    0.3186D-02   400
  0.1892D+01   -0.6773D+00    0.3168D-02   400
  0.1908D+01   -0.6687D+00    0.3149D-02   400
  0.1925D+01   -0.6601D+00    0.3128D-02   400
  0.1942D+01   -0.6513D+00    0.3106D-02   400
  0.1959D+01   -0.6425D+00    0.3083D-02   400
  0.1977D+01   -0.6335D+00    0.3059D-02   400
  0.1994D+01   -0.6245D+00    0.3033D-02   400
  0.2012D+01   -0.6154D+00    0.3007D-02   400
  0.2029D+01   -0.6063D+00    0.2979D-02   400
  0.2047D+01   -0.5971D+00    0.2950D-02   400
  0.2065D+01   -0.5878D+00    0.2920D-02   400
  0.2083D+01   -0.5785D+00    0.2889D-02   400
  0.2101D+01   -0.5691D+00    0.2857D-02   400
  0.2120D+01   -0.5597D+00    0.2825D-02   400
  0.2138D+01   -0.5503D+00    0.2791D-02   400
  0.2157D+01   -0.5409D+00    0.2757D-02   400
  0.2176D+01   -0.5314D+00    0.2722D-02   400
  0.2195D+01   -0.5219D+00    0.2686D-02   400
  0.2214D+01   -0.5125D+00    0.2649D-02   400
  0.2233D+01   -0.5030D+00    0.2612D-02   400
  0.2252D+01   -0.4935D+00    0.2575D-02   400
  0.2272D+01   -0.4840D+00    0.2536D-02   400
  0.2292D+01   -0.4746D+00    0.2497D-02   400
  0.2311D+01   -0.4652D+00    0.2458D-02   400
  0.2331D+01   -0.4557D+00    0.2419D-02   400
  0.2352D+01   -0.4464D+00    0.2379D-02   400
  0.2372D+01   -0.4370D+00    0.2338D-02   400
  0.2392D+01   -0.4277D+00    0.2297D-02   400
  0.2413D+01   -0.4185D+00    0.2256D-02   400
  0.2434D+01   -0.4093D+00    0.2215D-02   400
  0.2455D+01   -0.4002D+00    0.2174D-02   400
  0.2476D+01   -0.3911D+00    0.2132D-02   400
  0.2497D+01   -0.3821D+00    0.2091D-02   400
  0.2519D+01   -0.3731D+00    0.2049D-02   400
  0.2540D+01   -0.3643D+00    0.2007D-02   400
  0.2562D+01   -0.3555D+00    0.1966D-02   400
  0.2584D+01   -0.3468D+00    0.1924D-02   400
  0.2606D+01   -0.3381D+00    0.1882D-02   400
  0.2629D+01   -0.3296D+00    0.1841D-02   400
  0.2651D+01   -0.3211D+00    0.1799D-02   400
  0.2674D+01   -0.3128D+00    0.1758D-02   400
  0.2697D+01   -0.3045D+00    0.1717D-02   400
  0.2720D+01   -0.2964D+00    0.1676D-02   400
  0.2743D+01   -0.2883D+00    0.1636D-02   400
  0.2766D+01   -0.2804D+00    0.1595D-02   400
  0.2790D+01   -0.2726D+00    0.1555D-02   400
  0.2813D+01   -0.2649D+00    0.1516D-02   400
  0.2837D+01   -0.2573D+00    0.1476D-02   400
  0.2862D+01   -0.2498D+00    0.1437D-02   400
  0.2886D+01   -0.2424D+00    0.1399D-02   400
  0.2910D+01   -0.2352D+00    0.1361D-02   400
  0.2935D+01   -0.2281D+00    0.1323D-02   400
  0.2960D+01   -0.2211D+00    0.1286D-02   400
  0.2985D+01   -0.2142D+00    0.1249D-02   400
  0.3010D+01   -0.2074D+00    0.1213D-02   400
  0.3036D+01   -0.2008D+00    0.1177D-02   400
  0.3061D+01   -0.1943D+00    0.1142D-02   400
  0.3087D+01   -0.1880D+00    0.1107D-02   400
  0.3113D+01   -0.1817D+00    0.1073D-02   400
  0.3140D+01   -0.1756D+00    0.1039D-02   400
  0.3166D+01   -0.1697D+00    0.1006D-02   400
  0.3193D+01   -0.1638D+00    0.9737D-03   400
  0.3220D+01   -0.1581D+00    0.9419D-03   400
  0.3247D+01   -0.1525D+00    0.9107D-03   400
  0.3274D+01   -0.1471D+00    0.8801D-03   400
  0.3302D+01   -0.1418D+00    0.8501D-03   400
  0.3329D+01   -0.1366D+00    0.8207D-03   400
  0.3357D+01   -0.1315D+00    0.7920D-03   400
  0.3386D+01   -0.1266D+00    0.7639D-03   400
  0.3414D+01   -0.1218D+00    0.7364D-03   400
  0.3443D+01   -0.1171D+00    0.7096D-03   400
  0.3471D+01   -0.1126D+00    0.6834D-03   400
  0.3501D+01   -0.1081D+00    0.6578D-03   400
  0.3530D+01   -0.1038D+00    0.6329D-03   400
  0.3559D+01   -0.9967D-01    0.6086D-03   400
  0.3589D+01   -0.9561D-01    0.5849D-03   400
  0.3619D+01   -0.9168D-01    0.5619D-03   400
  0.3649D+01   -0.8787D-01    0.5395D-03   400
  0.3680D+01   -0.8417D-01    0.5177D-03   400
  0.3710D+01   -0.8058D-01    0.4966D-03   400
  0.3741D+01   -0.7712D-01    0.4760D-03   400
  0.3773D+01   -0.7376D-01    0.4561D-03   400
  0.3804D+01   -0.7051D-01    0.4368D-03   400
  0.3836D+01   -0.6738D-01    0.4181D-03   400
  0.3868D+01   -0.6434D-01    0.3999D-03   400
  0.3900D+01   -0.6142D-01    0.3824D-03   400
  0.3932D+01   -0.5859D-01    0.3654D-03   400
  0.3965D+01   -0.5587D-01    0.3489D-03   400
  0.3998D+01   -0.5324D-01    0.3331D-03   400
  0.4031D+01   -0.5071D-01    0.3177D-03   400
  0.4064D+01   -0.4828D-01    0.3029D-03   400
  0.4098D+01   -0.4593D-01    0.2887D-03   400
  0.4132D+01   -0.4368D-01    0.2749D-03   400
  0.4166D+01   -0.4152D-01    0.2617D-03   400
  0.4201D+01   -0.3944D-01    0.2489D-03   400
  0.4236D+01   -0.3744D-01    0.2367D-03   400
  0.4271D+01   -0.3552D-01    0.2249D-03   400
  0.4306D+01   -0.3369D-01    0.2136D-03   400
  0.4342D+01   -0.3193D-01    0.2027D-03   400
  0.4377D+01   -0.3024D-01    0.1923D-03   400
  0.4414D+01   -0.2863D-01    0.1823D-03   400
  0.4450D+01   -0.2709D-01    0.1727D-03   400
  0.4487D+01   -0.2561D-01    0.1635D-03   400
  0.4524D+01   -0.2420D-01    0.1547D-03   400
  0.4561D+01   -0.2286D-01    0.1463D-03   400
  0.4599D+01   -0.2157D-01    0.1383D-03   400
  0.4637D+01   -0.2035D-01    0.1306D-03   400
  0.4675D+01   -0.1919D-01    0.1233D-03   400
  0.4713D+01   -0.1808D-01    0.1163D-03   400
  0.4752D+01   -0.1702D-01    0.1096D-03   400
  0.4791D+01   -0.1602D-01    0.1033D-03   400
  0.4830D+01   -0.1506D-01    0.9723D-04   400
  0.4870D+01   -0.1415D-01    0.9149D-04   400
  0.4910D+01   -0.1329D-01    0.8603D-04   400
  0.4950D+01   -0.1248D-01    0.8084D-04   400
  0.4991D+01   -0.1170D-01    0.7591D-04   400
  0.5032D+01   -0.1097D-01    0.7124D-04   400
  0.5073D+01   -0.1028D-01    0.6681D-04   400
  0.5115D+01   -0.9621D-02    0.6261D-04   400
  0.5157D+01   -0.9001D-02    0.5864D-04   400
  0.5199D+01   -0.8415D-02    0.5488D-04   400
  0.5242D+01   -0.7862D-02    0.5133D-04   400
  0.5284D+01   -0.7340D-02    0.4798D-04   400
  0.5328D+01   -0.6849D-02    0.4481D-04   400


   state:    2p-
  energy:    0.2001D+01


      r          p( 2p-)       q( 2p-)     npt
  0.0000D+00    0.0000D+00    0.0000D+00   400
  0.1953D-02    0.2693D-04    0.1393D-03   400
  0.3922D-02    0.1040D-03    0.2781D-03   400
  0.5905D-02    0.2317D-03    0.4165D-03   400
  0.7905D-02    0.4107D-03    0.5545D-03   400
  0.9919D-02    0.6416D-03    0.6921D-03   400
  0.1195D-01    0.9248D-03    0.8292D-03   400
  0.1400D-01    0.1261D-02    0.9658D-03   400
  0.1606D-01    0.1651D-02    0.1102D-02   400
  0.1814D-01    0.2094D-02    0.1238D-02   400
  0.2023D-01    0.2593D-02    0.1373D-02   400
  0.2234D-01    0.3146D-02    0.1507D-02   400
  0.2447D-01    0.3756D-02    0.1642D-02   400
  0.2662D-01    0.4421D-02    0.1775D-02   400
  0.2878D-01    0.5143D-02    0.1908D-02   400
  0.3095D-01    0.5923D-02    0.2040D-02   400
  0.3315D-01    0.6760D-02    0.2172D-02   400
  0.3536D-01    0.7656D-02    0.2303D-02   400
  0.3759D-01    0.8611D-02    0.2434D-02   400
  0.3984D-01    0.9625D-02    0.2564D-02   400
  0.4210D-01    0.1070D-01    0.2693D-02   400
  0.4438D-01    0.1183D-01    0.2822D-02   400
  0.4668D-01    0.1303D-01    0.2950D-02   400
  0.4900D-01    0.1429D-01    0.3077D-02   400
  0.5134D-01    0.1561D-01    0.3203D-02   400
  0.5369D-01    0.1699D-01    0.3329D-02   400
  0.5606D-01    0.1843D-01    0.3454D-02   400
  0.5846D-01    0.1994D-01    0.3578D-02   400
  0.6087D-01    0.2151D-01    0.3701D-02   400
  0.6329D-01    0.2314D-01    0.3824D-02   400
  0.6574D-01    0.2484D-01    0.3945D-02   400
  0.6821D-01    0.2661D-01    0.4066D-02   400
  0.7069D-01    0.2844D-01    0.4186D-02   400
  0.7320D-01    0.3034D-01    0.4305D-02   400
  0.7573D-01    0.3230D-01    0.4423D-02   400
  0.7827D-01    0.3433D-01    0.4540D-02   400
  0.8083D-01    0.3642D-01    0.4657D-02   400
  0.8342D-01    0.3859D-01    0.4772D-02   400
  0.8602D-01    0.4082D-01    0.4886D-02   400
  0.8865D-01    0.4312D-01    0.5000D-02   400
  0.9129D-01    0.4549D-01    0.5112D-02   400
  0.9396D-01    0.4792D-01    0.5224D-02   400
  0.9665D-01    0.5043D-01    0.5334D-02   400
  0.9936D-01    0.5300D-01    0.5443D-02   400
  0.1021D+00    0.5565D-01    0.5551D-02   400
  0.1048D+00    0.5836D-01    0.5658D-02   400
  0.1076D+00    0.6115D-01    0.5764D-02   400
  0.1104D+00    0.6400D-01    0.5869D-02   400
  0.1132D+00    0.6693D-01    0.5973D-02   400
  0.1161D+00    0.6992D-01    0.6075D-02   400
  0.1189D+00    0.7299D-01    0.6177D-02   400
  0.1218D+00    0.7613D-01    0.6277D-02   400
  0.1247D+00    0.7934D-01    0.6376D-02   400
  0.1276D+00    0.8262D-01    0.6473D-02   400
  0.1306D+00    0.8597D-01    0.6570D-02   400
  0.1336D+00    0.8939D-01    0.6665D-02   400
  0.1365D+00    0.9288D-01    0.6759D-02   400
  0.1396D+00    0.9645D-01    0.6852D-02   400
  0.1426D+00    0.1001D+00    0.6943D-02   400
  0.1457D+00    0.1038D+00    0.7033D-02   400
  0.1488D+00    0.1076D+00    0.7121D-02   400
  0.1519D+00    0.1114D+00    0.7209D-02   400
  0.1550D+00    0.1154D+00    0.7294D-02   400
  0.1582D+00    0.1194D+00    0.7379D-02   400
  0.1614D+00    0.1234D+00    0.7462D-02   400
  0.1646D+00    0.1276D+00    0.7544D-02   400
  0.1678D+00    0.1318D+00    0.7624D-02   400
  0.1711D+00    0.1360D+00    0.7702D-02   400
  0.1744D+00    0.1404D+00    0.7780D-02   400
  0.1777D+00    0.1448D+00    0.7855D-02   400
  0.1810D+00    0.1493D+00    0.7930D-02   400
  0.1844D+00    0.1539D+00    0.8002D-02   400
  0.1878D+00    0.1585D+00    0.8074D-02   400
  0.1912D+00    0.1632D+00    0.8143D-02   400
  0.1947D+00    0.1680D+00    0.8211D-02   400
  0.1981D+00    0.1728D+00    0.8278D-02   400
  0.2016D+00    0.1777D+00    0.8343D-02   400
  0.2052D+00    0.1827D+00    0.8406D-02   400
  0.2087D+00    0.1878D+00    0.8468D-02   400
  0.2123D+00    0.1929D+00    0.8528D-02   400
  0.2159D+00    0.1980D+00    0.8586D-02   400
  0.2196D+00    0.2033D+00    0.8643D-02   400
  0.2232D+00    0.2086D+00    0.8698D-02   400
  0.2269D+00    0.2140D+00    0.8751D-02   400
  0.2307D+00    0.2194D+00    0.8803D-02   400
  0.2344D+00    0.2249D+00    0.8853D-02   400
  0.2382D+00    0.2305D+00    0.8902D-02   400
  0.2420D+00    0.2361D+00    0.8948D-02   400
  0.2459D+00    0.2418D+00    0.8993D-02   400
  0.2497D+00    0.2475D+00    0.9036D-02   400
  0.2536D+00    0.2534D+00    0.9078D-02   400
  0.2576D+00    0.2592D+00    0.9117D-02   400
  0.2615D+00    0.2651D+00    0.9155D-02   400
  0.2655D+00    0.2711D+00    0.9191D-02   400
  0.2696D+00    0.2772D+00    0.9225D-02   400
  0.2736D+00    0.2833D+00    0.9258D-02   400
  0.2777D+00    0.2894D+00    0.9289D-02   400
  0.2818D+00    0.2956D+00    0.9317D-02   400
  0.2860D+00    0.3019D+00    0.9344D-02   400
  0.2902D+00    0.3082D+00    0.9370D-02   400
  0.2944D+00    0.3145D+00    0.9393D-02   400
  0.2986D+00    0.3210D+00    0.9415D-02   400
  0.3029D+00    0.3274D+00    0.9434D-02   400
  0.3073D+00    0.3339D+00    0.9452D-02   400
  0.3116D+00    0.3405D+00    0.9468D-02   400
  0.3160D+00    0.3471D+00    0.9483D-02   400
  0.3204D+00    0.3537D+00    0.9495D-02   400
  0.3249D+00    0.3604D+00    0.9505D-02   400
  0.3294D+00    0.3671D+00    0.9514D-02   400
  0.3339D+00    0.3738D+00    0.9521D-02   400
  0.3385D+00    0.3806D+00    0.9526D-02   400
  0.3430D+00    0.3874D+00    0.9529D-02   400
  0.3477D+00    0.3943D+00    0.9530D-02   400
  0.3524D+00    0.4012D+00    0.9530D-02   400
  0.3571D+00    0.4081D+00    0.9527D-02   400
  0.3618D+00    0.4151D+00    0.9523D-02   400
  0.3666D+00    0.4221D+00    0.9516D-02   400
  0.3714D+00    0.4291D+00    0.9508D-02   400
  0.3763D+00    0.4361D+00    0.9499D-02   400
  0.3811D+00    0.4431D+00    0.9487D-02   400
  0.3861D+00    0.4502D+00    0.9473D-02   400
  0.3910D+00    0.4573D+00    0.9458D-02   400
  0.3961D+00    0.4644D+00    0.9441D-02   400
  0.4011D+00    0.4715D+00    0.9421D-02   400
  0.4062D+00    0.4787D+00    0.9401D-02   400
  0.4113D+00    0.4858D+00    0.9378D-02   400
  0.4165D+00    0.4930D+00    0.9353D-02   400
  0.4217D+00    0.5001D+00    0.9327D-02   400
  0.4269D+00    0.5073D+00    0.9299D-02   400
  0.4322D+00    0.5145D+00    0.9269D-02   400
  0.4376D+00    0.5217D+00    0.9238D-02   400
  0.4429D+00    0.5288D+00    0.9204D-02   400
  0.4483D+00    0.5360D+00    0.9169D-02   400
  0.4538D+00    0.5431D+00    0.9132D-02   400
  0.4593D+00    0.5503D+00    0.9094D-02   400
  0.4648D+00    0.5574D+00    0.9053D-02   400
  0.4704D+00    0.5646D+00    0.9011D-02   400
  0.4760D+00    0.5717D+00    0.8968D-02   400
  0.4817D+00    0.5788D+00    0.8923D-02   400
  0.4874D+00    0.5858D+00    0.8876D-02   400
  0.4932D+00    0.5929D+00    0.8827D-02   400
  0.4990D+00    0.5999D+00    0.8777D-02   400
  0.5049D+00    0.6069D+00    0.8725D-02   400
  0.5108D+00    0.6139D+00    0.8672D-02   400
  0.5167D+00    0.6208D+00    0.8617D-02   400
  0.5227D+00    0.6278D+00    0.8560D-02   400
  0.5287D+00    0.6346D+00    0.8502D-02   400
  0.5348D+00    0.6414D+00    0.8443D-02   400
  0.5409D+00    0.6482D+00    0.8382D-02   400
  0.5471D+00    0.6550D+00    0.8320D-02   400
  0.5533D+00    0.6617D+00    0.8256D-02   400
  0.5596D+00    0.6683D+00    0.8191D-02   400
  0.5659D+00    0.6749D+00    0.8124D-02   400
  0.5723D+00    0.6815D+00    0.8056D-02   400
  0.5787D+00    0.6879D+00    0.7987D-02   400
  0.5852D+00    0.6944D+00    0.7916D-02   400
  0.5917D+00    0.7007D+00    0.7844D-02   400
  0.5983D+00    0.7070D+00    0.7771D-02   400
  0.6049D+00    0.7132D+00    0.7696D-02   400
  0.6116D+00    0.7194D+00    0.7621D-02   400
  0.6184D+00    0.7255D+00    0.7544D-02   400
  0.6251D+00    0.7315D+00    0.7466D-02   400
  0.6320D+00    0.7374D+00    0.7387D-02   400
  0.6389D+00    0.7433D+00    0.7307D-02   400
  0.6458D+00    0.7490D+00    0.7225D-02   400
  0.6528D+00    0.7547D+00    0.7143D-02   400
  0.6599D+00    0.7603D+00    0.7060D-02   400
  0.6670D+00    0.7658D+00    0.6975D-02   400
  0.6741D+00    0.7712D+00    0.6890D-02   400
  0.6814D+00    0.7765D+00    0.6804D-02   400
  0.6886D+00    0.7817D+00    0.6717D-02   400
  0.6960D+00    0.7868D+00    0.6629D-02   400
  0.7034D+00    0.7918D+00    0.6541D-02   400
  0.7108D+00    0.7967D+00    0.6451D-02   400
  0.7183D+00    0.8015D+00    0.6361D-02   400
  0.7259D+00    0.8062D+00    0.6270D-02   400
  0.7335D+00    0.8107D+00    0.6179D-02   400
  0.7412D+00    0.8152D+00    0.6086D-02   400
  0.7489D+00    0.8195D+00    0.5994D-02   400
  0.7567D+00    0.8237D+00    0.5900D-02   400
