OOGRWF


  npx:    400
  h:      0.781250D-02


   state:    1s 
  energy:    0.5000D+00


      r          p( 1s )       q( 1s )
  0.1544D+01    0.6593D+00   -0.2406D-02
  0.1564D+01    0.6546D+00   -0.2389D-02
  0.1584D+01    0.6499D+00   -0.2371D-02
  0.1604D+01    0.6450D+00   -0.2353D-02
  0.1625D+01    0.6400D+00   -0.2335D-02
  0.1645D+01    0.6349D+00   -0.2317D-02
  0.1666D+01    0.6298D+00   -0.2298D-02
  0.1687D+01    0.6245D+00   -0.2279D-02
  0.1708D+01    0.6191D+00   -0.2259D-02
  0.1729D+01    0.6137D+00   -0.2239D-02
  0.1750D+01    0.6081D+00   -0.2219D-02
  0.1772D+01    0.6025D+00   -0.2198D-02
  0.1793D+01    0.5968D+00   -0.2178D-02
  0.1815D+01    0.5910D+00   -0.2157D-02
  0.1837D+01    0.5852D+00   -0.2135D-02
  0.1859D+01    0.5793D+00   -0.2114D-02
  0.1882D+01    0.5733D+00   -0.2092D-02
  0.1904D+01    0.5672D+00   -0.2070D-02
  0.1927D+01    0.5611D+00   -0.2047D-02
  0.1950D+01    0.5549D+00   -0.2025D-02
  0.1973D+01    0.5487D+00   -0.2002D-02
  0.1996D+01    0.5424D+00   -0.1979D-02
  0.2019D+01    0.5361D+00   -0.1956D-02
  0.2043D+01    0.5297D+00   -0.1933D-02
  0.2067D+01    0.5233D+00   -0.1909D-02
  0.2091D+01    0.5168D+00   -0.1886D-02
  0.2115D+01    0.5103D+00   -0.1862D-02
  0.2139D+01    0.5038D+00   -0.1838D-02
  0.2164D+01    0.4972D+00   -0.1814D-02
  0.2188D+01    0.4906D+00   -0.1790D-02
  0.2213D+01    0.4840D+00   -0.1766D-02
  0.2238D+01    0.4773D+00   -0.1742D-02
  0.2264D+01    0.4707D+00   -0.1717D-02
  0.2289D+01    0.4640D+00   -0.1693D-02
  0.2315D+01    0.4573D+00   -0.1669D-02
  0.2341D+01    0.4506D+00   -0.1644D-02
  0.2367D+01    0.4439D+00   -0.1620D-02
  0.2393D+01    0.4371D+00   -0.1595D-02
  0.2420D+01    0.4304D+00   -0.1570D-02
  0.2447D+01    0.4237D+00   -0.1546D-02
  0.2473D+01    0.4170D+00   -0.1521D-02
  0.2501D+01    0.4103D+00   -0.1497D-02
  0.2528D+01    0.4036D+00   -0.1473D-02
  0.2555D+01    0.3969D+00   -0.1448D-02
  0.2583D+01    0.3902D+00   -0.1424D-02
  0.2611D+01    0.3835D+00   -0.1399D-02
  0.2639D+01    0.3769D+00   -0.1375D-02
  0.2668D+01    0.3703D+00   -0.1351D-02
  0.2697D+01    0.3637D+00   -0.1327D-02
  0.2725D+01    0.3571D+00   -0.1303D-02
  0.2755D+01    0.3506D+00   -0.1279D-02
  0.2784D+01    0.3441D+00   -0.1255D-02
  0.2813D+01    0.3376D+00   -0.1232D-02
  0.2843D+01    0.3312D+00   -0.1208D-02
  0.2873D+01    0.3248D+00   -0.1185D-02
  0.2904D+01    0.3184D+00   -0.1162D-02
  0.2934D+01    0.3121D+00   -0.1139D-02
  0.2965D+01    0.3058D+00   -0.1116D-02
  0.2996D+01    0.2996D+00   -0.1093D-02
  0.3027D+01    0.2934D+00   -0.1070D-02
  0.3058D+01    0.2873D+00   -0.1048D-02
  0.3090D+01    0.2812D+00   -0.1026D-02
  0.3122D+01    0.2751D+00   -0.1004D-02
